"","country_code","name","age","f","m","location_type"
"1",2222,"UK | Rutland","0-4",0.9275,0.9275,5
"2",2222,"UK | Rutland","5-9",0.994,0.994,5
"3",2222,"UK | Rutland","10-14",1.1385,1.1385,5
"4",2222,"UK | Rutland","15-19",1.243,1.243,5
"5",2222,"UK | Rutland","20-24",0.9105,0.9105,5
"6",2222,"UK | Rutland","25-29",1.0455,1.0455,5
"7",2222,"UK | Rutland","30-34",0.959,0.959,5
"8",2222,"UK | Rutland","35-39",1.106,1.106,5
"9",2222,"UK | Rutland","40-44",1.1055,1.1055,5
"10",2222,"UK | Rutland","45-49",1.3585,1.3585,5
"11",2222,"UK | Rutland","50-54",1.489,1.489,5
"12",2222,"UK | Rutland","55-59",1.4005,1.4005,5
"13",2222,"UK | Rutland","60-64",1.232,1.232,5
"14",2222,"UK | Rutland","65-69",1.326,1.326,5
"15",2222,"UK | Rutland","70-74",1.34,1.34,5
"16",2222,"UK | Rutland","75-79",0.9385,0.9385,5
"17",2222,"UK | Rutland","80-84",0.685,0.685,5
"18",2222,"UK | Rutland","85-89",0.4045,0.4045,5
"19",2222,"UK | Rutland","90+",0.245,0.245,5
