"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.48421052631579,0.531140837665752,0.345164937871872,0.18519952171534,0.203396082146524,0.452660913556677,0.537437934458789,0.493130940558945,0.234570906877663,0.230679529011207,0.278803354870882,0.192605465445585,0.193975504799735,0.179902586655318,0.0591508789125473,0.163693431692439
"5-9",0.495606767540226,0.941176470588236,0.698906675346195,0.287539241048532,0.154016906356718,0.344049424496464,0.650027616680475,0.720913717599716,0.573723730746274,0.192533633171579,0.134904794183999,0.127294814639471,0.251518917426125,0.202338212280217,0.071080672986224,0.448367903499428
"10-14",0.281194975736637,0.610200470174895,0.803921568627451,0.569514472455649,0.0565214764139728,0.0994526302515379,0.318977498772895,0.601915575189233,0.657261502076286,0.317805936603891,0.177824122023146,0.244236913034867,0.160494544765645,0.233330749954791,0.18500806718663,0.139486295176832
"15-19",0.13819191986402,0.229938862109607,0.521634937160705,0.961904761904762,0.354938097250982,0.133155679878344,0.115006895759108,0.309638738842279,0.510351671356524,0.52599701183772,0.279706268523646,0.175753531948222,0.108420488066506,0.229469154247915,0.210292442874905,0.357155786691185
"20-24",0.207193702571006,0.168141466137922,0.0706751245439957,0.484555798882999,0.694915254237288,0.4865272387122,0.163135515656946,0.154562123623638,0.249887182794498,0.500093076071073,0.411423169793036,0.24447162610446,0.126155306732192,0.0708877699076789,0.0419227316303797,0.189925213376893
"25-29",0.401571494331725,0.327101987517441,0.108299205682808,0.158309430979226,0.423704496267296,0.457627118644068,0.274013596068164,0.122526728756819,0.1361207486902,0.133535166857152,0.260436232568616,0.288360828385065,0.192324111675813,0.0958844334206054,0.0667329128652476,0.0169491525423729
"30-34",0.519784863618901,0.673751252325748,0.378681837698583,0.149065246536571,0.154885179359385,0.298729108122279,0.616666666666667,0.298661800486618,0.180150694607959,0.128023983315954,0.246534426643916,0.220597265670258,0.215450121654501,0.170298922488704,0.0166666666666667,0.304605491831769
"35-39",0.413543352051014,0.647909796830125,0.619602967769386,0.347993627830879,0.127241241916204,0.115824317283232,0.258966244725738,0.585714285714286,0.328257160356997,0.155424954792043,0.215247410817031,0.139216227982051,0.25708257986739,0.256962025316456,0.0561071839552852,0.157018535262206
"40-44",0.196801914182752,0.515858334112887,0.676881248406922,0.573828247395893,0.205809389357205,0.128732919724653,0.156277264702879,0.328405625829795,0.370967741935484,0.23268189842576,0.166554148302299,0.0901750074435037,0.249119748277187,0.329080809701898,0.3272238514174,0.193021330298653
"45-49",0.157493752784612,0.140874811463047,0.266339388166014,0.481276618118724,0.335174638029232,0.102768507139604,0.0903754140596246,0.126536621273463,0.189348427463877,0.545454545454546,0.168790220943331,0.215910113278534,0.0798061587535272,0.0903774587985114,0.139361595342457,0.1773003312477
"50-54",0.173666965508894,0.0900573307044291,0.135965589606012,0.233495561971049,0.251578775081638,0.182865064573867,0.158782078677982,0.159881555650528,0.123657226963191,0.153996988013106,0.287878787878788,0.237827683596656,0.126941001689155,0.0405583708135757,0.127266621893889,0.228694771760588
"55-59",0.127555565298665,0.090347051589885,0.198546037479612,0.155988318608811,0.158937105011146,0.215266866173927,0.151055178706018,0.109941555264654,0.0711806288673997,0.209435122376929,0.252856423331254,0.388888888888889,0.262915360916075,0.0711187803297764,0.00925925925925926,0.323244343951234
"60-64",0.146032695374801,0.202930035650624,0.148314155207538,0.109388528138528,0.0932340964120625,0.163210112627486,0.167708333333333,0.230790043290043,0.22354048840944,0.0880005411255411,0.153421389216844,0.298874158249158,0.409090909090909,0.260732323232323,0.12918142463597,0.0303030303030303
"65-69",0.125836839459131,0.151677362750027,0.200337148434034,0.215105700399818,0.0486751994728067,0.0756011878893235,0.123164906988436,0.214328808446456,0.274358095871379,0.0925925925925926,0.0455440528969941,0.0751145187419697,0.242249036366683,0.407407407407407,0.234844676021147,0.0185185185185185
"70-74",0.0409421195458116,0.0527270066778408,0.157187824247745,0.195069780965303,0.0284855575742244,0.0520666122392659,0.0119278606965174,0.0463093622795115,0.269959677419355,0.141285617367707,0.141417910447761,0.00967730790491985,0.118769787426504,0.232391074928388,0.272727272727273,0.325669945725916
"75+",0.0667952740407993,0.196074657315632,0.0698658808001864,0.195312205392496,0.0760787095379063,0.00779601363090667,0.128515911423962,0.0764023317201936,0.0938781701034586,0.105966783985922,0.149813689023984,0.199165729742061,0.0164246957031823,0.0108031480666764,0.191991960964684,0.625
