"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.294736842105263,0.163031329711626,0.133116086553787,0.0886847847381257,0.178778333746102,0.251475025908231,0.201952995696789,0.226034898567173,0.131578947368421,0.0421052631578947,0.164081730913906,0.0858572006536257,0.0578947368421053,0.0527907819864126,0.0867228104566734,0.00526315789473684
"5-9",0.152124304132327,0.754901960784314,0.225835404584369,0.224504449667191,0.0800703188890739,0.156423084870138,0.183340237503452,0.189698978182822,0.323209179173714,0.0833333333333333,0.11402102454298,0.0815952359034381,0.0857497928748964,0.123324916821189,0.0502462188460532,0.0245098039215686
"10-14",0.10844547235717,0.19717206162219,1.27450980392157,0.353236173696532,0.121695847897677,0.154537047618672,0.0890189189421926,0.153550853806608,0.220464483128455,0.0794750574801726,0.1625976497518,0.0896779196722362,0.0654994101285662,0.041176183546175,0.104758935554099,0.0392156862745098
"15-19",0.0661746885314654,0.179531313732251,0.323539327235319,1.82857142857143,0.380193360461847,0.21407845192156,0.146913190054783,0.249251043941309,0.188420469529519,0.193770830938972,0.22049398710702,0.0759720040693492,0.0531126690418726,0.0933060056953862,0.151766951203798,0.00952380952380952
"20-24",0.18211631471665,0.0874133959096534,0.152169931720489,0.519033879246651,1.03389830508475,0.637519895010192,0.336561521731711,0.300447695901861,0.240095505056282,0.371246940124163,0.360575712165917,0.227168525947368,0.245612238882839,0.231158042134503,0.293008971687105,0.0423728813559322
"25-29",0.223092383098885,0.148717882698151,0.168283528181596,0.254518905536584,0.555200252899837,0.813559322033898,0.363080406477046,0.288553850643192,0.246448498720989,0.214942975950198,0.593377050420554,0.294983687900466,0.220915843256139,0.386201828119976,0.203904178079214,0.163765961117808
"30-34",0.195319503137406,0.190031487047374,0.105680958514793,0.190420328715428,0.319540422874581,0.395829577655632,0.616666666666667,0.414468196037539,0.35548566495117,0.220446645811609,0.533260656618321,0.298741937975515,0.29051094890511,0.213176341096049,0.143692925079786,0.363596752569641
"35-39",0.18955458265918,0.170488955075701,0.158062972024253,0.280125721174546,0.247339626689552,0.272769485395531,0.359380650994575,0.428571428571429,0.422032316397363,0.410849909584087,0.424313661022522,0.299321043466613,0.29798071127185,0.338627687361865,0.105071510767713,0.33645052957892
"40-44",0.110393011021448,0.290610514788486,0.227045512475573,0.211855851311797,0.197744873228173,0.233072732168968,0.308376981174285,0.42222319487606,0.419354838709677,0.572714871390846,0.433007030076667,0.358501291738332,0.333546101360256,0.211936813164545,0.296320981071714,0.480911842129945
"45-49",0.0287468763923058,0.0609741136056925,0.066604602827513,0.177296387822704,0.248818799398639,0.16541986113797,0.155618942461048,0.334486566065513,0.466055421658138,0.563636363636364,0.353042013807564,0.187273545168282,0.226303521040363,0.207921318447634,0.282959146117041,0.0545454545454545
"50-54",0.102206719558528,0.0761161171227145,0.124323320512038,0.184065833427821,0.220486357237789,0.416639157968226,0.343449946069154,0.315171866414311,0.321483728508902,0.32210045383316,0.303030303030303,0.446129076753657,0.263034983820746,0.264737706141333,0.175748417689318,0.620946101134147
"55-59",0.0568600882586489,0.0579119346576347,0.0729013292016001,0.0674282049683692,0.147687927793701,0.220210957300919,0.204565168524469,0.236379203194626,0.282986917541397,0.181657344599151,0.47432073922613,0.574074074074074,0.376975154376083,0.374112420167401,0.248037918155733,0.12037037037037
"60-64",0.0435855263157895,0.0691844919786096,0.0605284727527375,0.053586889301175,0.18151781128476,0.187473631594394,0.226136363636364,0.267505411255411,0.299298064167016,0.249540043290043,0.317905106257379,0.42853385040885,0.196969696969697,0.32449494949495,0.250787091696183,0.764977581941868
"65-69",0.0369256789535427,0.0924471850077386,0.0353537594022023,0.087465584524408,0.158725035719054,0.304505287556135,0.154175046086811,0.282445114798056,0.176693926812523,0.2130174291939,0.297280878163231,0.395131556896263,0.301491536785654,0.296296296296296,0.345232109937992,0.185185185185185
"70-74",0.0600264229093766,0.0372721951738633,0.0890060060659271,0.140780836079344,0.199093036359037,0.159090909090909,0.102836951605608,0.0867232021709634,0.244464809384164,0.286865671641791,0.195290592492085,0.259236645057541,0.230574400723654,0.341625207296849,0.318181818181818,0.318181818181818
"75+",0.00214763702039966,0.0107183216445399,0.0196423488004969,0.00520813692833051,0.0169733869223829,0.0753265782440248,0.15340487712903,0.163710640437433,0.233897070600376,0.0326000879894413,0.406770235190825,0.0741657297420606,0.414629292103995,0.108031480666764,0.187577490701116,0.142857142857143
