"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",1.17894736842105,0.147290534883268,0.0218065975148749,0.048816650791399,0.0105263157894737,0.116184769567026,0.0947368421052632,0.140578805504327,0.0517174707920135,0.034367995460349,0,0.0139812319057602,0.0105263157894737,0.00526315789473684,0.00526315789473684,0
"5-9",0.13743659064812,5.07843137254902,0.385462283504951,0.112087933765055,0.0420764032516802,0.100270365964481,0.151180613090307,0.180561802185663,0.128179020358711,0.0931372549019608,0.0784313725490196,0.0506015395203465,0.109431096382215,0.04940755644981,0,0
"10-14",0.0177651464163781,0.336538875541433,4.87254901960784,0.468504986535677,0.0245098039215686,0.0911156517272951,0.085450842611968,0.235675165982071,0.175453070428733,0.0931372549019608,0.0686274509803922,0.0555077152121767,0.00980392156862745,0.0431366808178402,0,0
"15-19",0.0364259401520696,0.0896342768805028,0.429117399172058,3.64761904761905,0.124405890095106,0.119047619047619,0.0730960042906946,0.0841397540512585,0.0476190476190476,0.111994789870896,0.0333333333333333,0.0333333333333333,0.00952380952380952,0,0.0490016821472976,0
"20-24",0.010722853261655,0.0459351398486218,0.0306473495493749,0.169836926291286,0.457627118644068,0.00847457627118644,0.0342009574425178,0.0254237288135593,0.0561158634952347,0.00847457627118644,0.00847457627118644,0.00847457627118644,0.0205015559216548,0.00847457627118644,0,0
"25-29",0.103071615278256,0.0953311752928684,0.0992206307905552,0.141536289312473,0.00738029813000025,0.0677966101694915,0.0338983050847458,0.0565668847117185,0.0680603743451,0.0169491525423729,0,0.0124032449474822,0,0,0,0
"30-34",0.0916250480215137,0.15669815371404,0.101445030566971,0.0947427876259993,0.0324712948398461,0.0369558685777911,0.0666666666666667,0.0578554049356969,0.087185912745131,0.0340893291623219,0.0117625683319114,0.00833333333333333,0.0569951338199514,0.0339387093036728,0,0
"35-39",0.117890453983059,0.162277062723824,0.242600521221147,0.0945621286489279,0.0209297514328624,0.0534725840561498,0.0501657625075347,0.1,0.0536720527328939,0.0397377938517179,0,0.00714285714285714,0.0830922242314648,0.0586899738798473,0,0
"40-44",0.0433902796558956,0.115250969006385,0.180690475516157,0.0535418147358446,0.0462175429329816,0.0643664598623266,0.075632103412556,0.053696327745437,0.0806451612903226,0.0273004479070921,0.0569442399660809,0.0241935483870968,0.0168852706166139,0,0,0.00806451612903226
"45-49",0.023464347287062,0.068147538735774,0.078054298642534,0.10247296563086,0.00567986874855742,0.0130440478344136,0.0240645319592688,0.0323518586676481,0.0222161539648806,0.0363636363636364,0.035576226006848,0.0186364317943265,0.0228315544105018,0,0,0
"50-54",0,0.0523578135082105,0.0524730375696283,0.0278262816207746,0.00518206964064154,0,0.00757575757575758,0,0.0422779431044342,0.0324582290331115,0,0.0390119574975183,0,0,0,0
"55-59",0.00925925925925926,0.0359142665356833,0.0451235514238223,0.0295846721409021,0.00550953352011086,0.00925925925925926,0.00570629537070094,0.00564084255622992,0.0190974421577547,0.0180775384452643,0.0414771900848302,0,0.00666428656432227,0.0350668412075053,0,0
"60-64",0.00792464114832536,0.0882909982174688,0.00905987394957983,0.00960884353741497,0.0151515151515152,0,0.0443655303030303,0.0745941558441559,0.0151515151515152,0.0251758658008658,0,0.00757575757575758,0,0.00757575757575758,0,0
"65-69",0.00368143208700484,0.037037037037037,0.037037037037037,0,0.00581908121788481,0,0.0245454164571812,0.0489525724819843,0,0,0,0.037037037037037,0.00703871292106586,0,0,0
"70-74",0.00364296936370778,0,0,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0
"75+",0,0,0,0,0,0,0,0,0.00392227126293232,0,0,0,0,0,0,0
